,Plot,F0,FM,FV,FV/FM
0,MAC Field Scanner Season 10 Range 27 Column 13,12.658422975895279,34.109437896178214,21.451014920282937,0.6288879630785827
1,MAC Field Scanner Season 10 Range 22 Column 14,13.584218940693338,36.15006184953532,22.56584290884198,0.6242269516098227
2,MAC Field Scanner Season 10 Range 22 Column 23,12.519155524391794,33.99107685205564,21.47192132766385,0.6316928828444962
3,MAC Field Scanner Season 10 Range 24 Column 45,12.28290087882352,29.299505504658608,17.016604625835086,0.5807812907671583
4,MAC Field Scanner Season 10 Range 29 Column 44,12.827899788021947,35.87644412319782,23.048544335175876,0.6424422737110843
5,MAC Field Scanner Season 10 Range 33 Column 35,12.5676481153722,36.78646291169637,24.218814796324168,0.6583621495347334
6,MAC Field Scanner Season 10 Range 21 Column 4,12.007531356952255,45.90799852451212,33.90046716755986,0.7384435884186727
7,MAC Field Scanner Season 10 Range 20 Column 19,13.622881964207117,35.33701207291327,21.71413010870615,0.6144868746656311
8,MAC Field Scanner Season 10 Range 30 Column 14,11.954187414183767,47.20030877527761,35.24612136109384,0.7467349743176873
9,MAC Field Scanner Season 10 Range 34 Column 39,13.440564493075511,44.421409281197676,30.980844788122162,0.6974304797942437
10,MAC Field Scanner Season 10 Range 30 Column 23,12.06320751931748,41.77517846123556,29.711970941918082,0.7112350452192253
11,MAC Field Scanner Season 10 Range 33 Column 5,10.532022198659684,43.8988894281388,33.36686722947912,0.760084541184116
12,MAC Field Scanner Season 10 Range 29 Column 29,11.846350293135906,37.629498947601384,25.783148654465478,0.685184479611812
13,MAC Field Scanner Season 10 Range 24 Column 33,12.258965025921068,25.644111841490414,13.385146815569346,0.5219579020051338
14,MAC Field Scanner Season 10 Range 22 Column 28,12.180987058265156,27.94430123021236,15.763314171947204,0.5640976327189203
15,MAC Field Scanner Season 10 Range 24 Column 38,13.431426840247317,28.374605858636894,14.943179018389577,0.5266391749311665
16,MAC Field Scanner Season 10 Range 21 Column 41,13.563442842318722,27.163005861306164,13.599563018987443,0.5006648781223468
17,MAC Field Scanner Season 10 Range 26 Column 9,11.552568208805383,26.598544874190377,15.045976665384995,0.5656691648566348
18,MAC Field Scanner Season 10 Range 20 Column 20,13.622881964207117,35.33701207291327,21.71413010870615,0.6144868746656311
19,MAC Field Scanner Season 10 Range 26 Column 8,12.029891846275387,32.12043959758549,20.0905477513101,0.625475491712147
20,MAC Field Scanner Season 10 Range 35 Column 36,12.371280695149583,40.158517366113635,27.787236670964052,0.6919388088368856
21,MAC Field Scanner Season 10 Range 28 Column 22,12.755138079412184,52.045727882677646,39.29058980326546,0.7549243982490738
22,MAC Field Scanner Season 10 Range 23 Column 27,11.577976341408618,31.701848085048997,20.12387174364038,0.6347854449889645
23,MAC Field Scanner Season 10 Range 30 Column 43,11.58157857304813,33.06030424949943,21.4787256764513,0.6496832429113689
24,MAC Field Scanner Season 10 Range 28 Column 39,12.828052099626708,32.71596007751699,19.88790797789028,0.6078962051172576
25,MAC Field Scanner Season 10 Range 24 Column 48,11.40375881133968,25.189640762584215,13.785881951244535,0.5472837854727006
26,MAC Field Scanner Season 10 Range 26 Column 12,11.558613417978687,27.271410134881474,15.712796716902787,0.576163705477237
27,MAC Field Scanner Season 10 Range 32 Column 19,13.333208520368556,51.07156960549686,37.738361085128304,0.7389309037618946
28,MAC Field Scanner Season 10 Range 28 Column 7,12.359837431569293,32.91043454940612,20.550597117836826,0.6244401631034577
29,MAC Field Scanner Season 10 Range 32 Column 20,13.333208520368556,51.07156960549686,37.738361085128304,0.7389309037618946
30,MAC Field Scanner Season 10 Range 23 Column 36,13.111977728936015,35.50405325115514,22.392075522219127,0.6306906809714913
31,MAC Field Scanner Season 10 Range 27 Column 46,12.158898706645084,28.061429826392516,15.902531119747431,0.5667042348922178
32,MAC Field Scanner Season 10 Range 33 Column 43,11.935075057658112,33.296822331828416,21.361747274170305,0.6415551328377249
33,MAC Field Scanner Season 10 Range 22 Column 19,12.665593176832918,31.23753809189118,18.571944915058264,0.5945393283051098
34,MAC Field Scanner Season 10 Range 32 Column 46,12.550425456913104,41.619857460634776,29.069432003721673,0.6984510225969984
35,MAC Field Scanner Season 10 Range 27 Column 18,13.251864574464369,56.68618822646592,43.43432365200155,0.7662241016890728
36,MAC Field Scanner Season 10 Range 27 Column 34,11.940218944704599,33.95520803473792,22.014989090033325,0.6483538274161319
37,MAC Field Scanner Season 10 Range 26 Column 10,11.552568208805383,26.598544874190377,15.045976665384995,0.5656691648566348
38,MAC Field Scanner Season 10 Range 30 Column 21,11.692531211972485,39.940846900765166,28.24831568879268,0.7072537985730972
