,Plot,F0,FM,FV,FV/FM
0,MAC Field Scanner Season 10 Range 3 Column 31,14.370392507783794,60.614376059325174,46.243983551541376,0.7629210520336125
1,MAC Field Scanner Season 10 Range 14 Column 46,16.545399577437923,78.53821759844323,61.992818021005306,0.7893331414518137
2,MAC Field Scanner Season 10 Range 9 Column 26,14.977943358833292,57.701987284914374,42.72404392608108,0.740425866359214
3,MAC Field Scanner Season 10 Range 11 Column 17,16.217841094565458,69.71818161224554,53.50034051768009,0.7673800331631584
4,MAC Field Scanner Season 10 Range 4 Column 7,16.57109499889623,71.12479995418111,54.553704955284886,0.767013826266346
5,MAC Field Scanner Season 10 Range 3 Column 18,14.370350055539033,64.65536813189051,50.28501807635148,0.7777392586146141
6,MAC Field Scanner Season 10 Range 10 Column 43,15.76442272788273,69.18656385022591,53.42214112234318,0.7721461819955486
7,MAC Field Scanner Season 10 Range 3 Column 41,15.754181110292762,66.46747780121193,50.713296690919165,0.7629791044966429
8,MAC Field Scanner Season 10 Range 12 Column 30,18.118285622580512,74.96509857790672,56.8468129553262,0.758310387549864
9,MAC Field Scanner Season 10 Range 15 Column 46,17.17173312744952,77.9442604502049,60.77252732275537,0.7796921411754266
10,MAC Field Scanner Season 10 Range 14 Column 48,15.877084445031498,73.88165735524657,58.004572910215074,0.7851011331718045
11,MAC Field Scanner Season 10 Range 11 Column 43,16.646058001611802,73.69881862367517,57.05276062206336,0.7741339913925785
12,MAC Field Scanner Season 10 Range 12 Column 36,15.042785568225021,60.84888109002866,45.80609552180364,0.7527845163501274
13,MAC Field Scanner Season 10 Range 17 Column 31,17.12466803778727,79.0686701232513,61.94400208546402,0.7834203103315948
14,MAC Field Scanner Season 10 Range 11 Column 21,17.91260681836494,79.10883699769008,61.19623017932514,0.7735700902936044
15,MAC Field Scanner Season 10 Range 18 Column 42,14.608127456497535,59.74204165951718,45.13391420301964,0.7554799425879615
16,MAC Field Scanner Season 10 Range 7 Column 39,15.614598476125083,69.45457705556146,53.83997857943638,0.775182584962919
17,MAC Field Scanner Season 10 Range 6 Column 47,12.523605099215631,59.83710932374531,47.31350422452968,0.7907050450673115
18,MAC Field Scanner Season 10 Range 5 Column 44,14.473477871804421,67.14716718197246,52.673689310168044,0.7844514001226514
19,MAC Field Scanner Season 10 Range 6 Column 42,15.909865528893311,66.60296874580918,50.693103216915866,0.7611237782866188
20,MAC Field Scanner Season 10 Range 14 Column 14,15.242679799079815,64.6742448613929,49.43156506231309,0.7643160761792074
21,MAC Field Scanner Season 10 Range 8 Column 16,14.679444037115255,65.80175397982651,51.12230994271126,0.776914091961505
22,MAC Field Scanner Season 10 Range 12 Column 16,15.446383093035443,60.14933964119928,44.70295654816384,0.7431994567990994
23,MAC Field Scanner Season 10 Range 17 Column 25,16.05079615415658,67.4250375239009,51.37424136974432,0.7619460552993111
24,MAC Field Scanner Season 10 Range 4 Column 12,16.229718864934714,70.5241179525533,54.29439908761859,0.7698699489463502
25,MAC Field Scanner Season 10 Range 5 Column 7,17.772840469557853,78.09520122554618,60.32236075598833,0.7724208377640486
26,MAC Field Scanner Season 10 Range 5 Column 41,14.769088321928438,65.33735263708792,50.56826431515948,0.7739564318750045
27,MAC Field Scanner Season 10 Range 15 Column 16,13.912641058069196,62.117856523182176,48.20521546511298,0.7760283139699605
28,MAC Field Scanner Season 10 Range 6 Column 48,12.523605099215631,59.83710932374531,47.31350422452968,0.7907050450673115
29,MAC Field Scanner Season 10 Range 12 Column 42,17.189228904162157,71.44769186620891,54.25846296204676,0.7594151965559607
30,MAC Field Scanner Season 10 Range 3 Column 43,15.996721438973507,75.59535348643658,59.59863204746307,0.7883901496426806
31,MAC Field Scanner Season 10 Range 6 Column 35,16.76597316621768,75.09399146256214,58.32801829634447,0.7767334930574799
32,MAC Field Scanner Season 10 Range 17 Column 10,18.081030454731696,71.95405522721481,53.87302477248311,0.748714226076128
33,MAC Field Scanner Season 10 Range 15 Column 28,17.054354929176796,74.95946330115596,57.90510837197917,0.7724856318586556
34,MAC Field Scanner Season 10 Range 7 Column 27,15.582304242266137,63.553281058254356,47.97097681598822,0.7548151097347272
35,MAC Field Scanner Season 10 Range 9 Column 39,15.664164191502039,75.73759645287635,60.07343226137431,0.7931784882921625
36,MAC Field Scanner Season 10 Range 10 Column 16,17.85545498504875,78.12413144923201,60.26867646418326,0.7714476352719275
37,MAC Field Scanner Season 10 Range 16 Column 17,17.143848086122723,71.10057009961308,53.95672201349036,0.7588788941902448
38,MAC Field Scanner Season 10 Range 6 Column 25,14.435094318448783,61.303925192644385,46.8688308741956,0.7645322991458173
39,MAC Field Scanner Season 10 Range 16 Column 11,18.34070199916789,79.51793545071668,61.17723345154879,0.7693513809782572
40,MAC Field Scanner Season 10 Range 10 Column 17,16.91118545418203,73.48830415927817,56.57711870509614,0.7698792257128588
41,MAC Field Scanner Season 10 Range 6 Column 11,16.066685441581637,72.71647469635678,56.64978925477514,0.7790502701255592
42,MAC Field Scanner Season 10 Range 8 Column 7,16.37992975867696,67.36563098053581,50.985701221858854,0.7568503475695244
43,MAC Field Scanner Season 10 Range 6 Column 43,16.496262989572266,73.80998894085663,57.31372595128436,0.7765036517917568
44,MAC Field Scanner Season 10 Range 13 Column 7,16.446244327327342,72.34825219612577,55.90200786879843,0.7726794521207793
45,MAC Field Scanner Season 10 Range 18 Column 33,15.348318270768468,66.36010256758306,51.01178429681459,0.7687116553935809
46,MAC Field Scanner Season 10 Range 18 Column 9,14.77048575561081,61.55936860752298,46.78888285191216,0.7600611232746504
47,MAC Field Scanner Season 10 Range 18 Column 27,16.92949339387269,71.84757500279093,54.91808160891824,0.7643693138812958
48,MAC Field Scanner Season 10 Range 9 Column 17,15.940985858589382,63.820021520331004,47.879035661741625,0.7502196727791592
49,MAC Field Scanner Season 10 Range 3 Column 5,13.866835629456366,74.44468176834714,60.57784613889077,0.8137296674515122
50,MAC Field Scanner Season 10 Range 10 Column 40,16.642019147698907,71.03073126866202,54.38871212096312,0.7657067743713181
51,MAC Field Scanner Season 10 Range 11 Column 19,16.164668823846643,64.67637838178625,48.51170955793961,0.7500684294901888
52,MAC Field Scanner Season 10 Range 11 Column 25,15.680414147007262,71.87371103543184,56.19329688842458,0.7818338037495068
53,MAC Field Scanner Season 10 Range 14 Column 18,16.718564752550225,69.20323310531134,52.48466835276112,0.7584135306639731
54,MAC Field Scanner Season 10 Range 15 Column 29,14.418454562801381,66.20598439830044,51.787529835499065,0.7822182587595282
55,MAC Field Scanner Season 10 Range 6 Column 40,15.291199532288626,66.46162178358541,51.170422251296785,0.7699243695545024
56,MAC Field Scanner Season 10 Range 4 Column 5,13.808933095494796,67.99580121382084,54.186868118326046,0.7969149146125807
57,MAC Field Scanner Season 10 Range 12 Column 18,15.298128105039035,65.36530203130974,50.067173926270705,0.7659594979349856
58,MAC Field Scanner Season 10 Range 13 Column 14,16.994592263628757,78.82541269731632,61.83082043368756,0.784402114976718
59,MAC Field Scanner Season 10 Range 13 Column 45,16.36185212064423,72.77641806917129,56.414565948527056,0.775176457501757
60,MAC Field Scanner Season 10 Range 13 Column 38,15.641401058173493,69.69894188238052,54.05754082420703,0.7755862480011688
61,MAC Field Scanner Season 10 Range 8 Column 14,15.923843223009872,64.32549536746984,48.40165214445997,0.7524489608351661
62,MAC Field Scanner Season 10 Range 6 Column 17,16.20624272171048,71.39953166212003,55.193288940409545,0.7730203217802273
63,MAC Field Scanner Season 10 Range 11 Column 23,16.679386819763778,71.10050663469417,54.42111981493039,0.765411139677802
64,MAC Field Scanner Season 10 Range 9 Column 46,16.214998074855895,75.5946507755852,59.379652700729295,0.7855007211688468
65,MAC Field Scanner Season 10 Range 18 Column 22,17.297461182257063,78.30217066907663,61.004709486819564,0.7790934652966365
66,MAC Field Scanner Season 10 Range 10 Column 5,15.388721093611045,78.64162056750361,63.25289947389256,0.8043183624325007
67,MAC Field Scanner Season 10 Range 3 Column 11,14.925335575790763,68.67562387002873,53.75028829423797,0.7826690937087439
68,MAC Field Scanner Season 10 Range 15 Column 15,13.912641058069196,62.117856523182176,48.20521546511298,0.7760283139699605
69,MAC Field Scanner Season 10 Range 7 Column 16,14.374767645389682,59.8366060761737,45.46183843078402,0.7597663272029468
70,MAC Field Scanner Season 10 Range 12 Column 7,16.165487945760137,73.44548756050992,57.279999614749784,0.7798981464662238
