,Plot,F0,FM,FV,FV/FM
0,MAC Field Scanner Season 10 Range 51 Column 22,12.51705590560014,34.78305033880316,22.26599443320302,0.640139211953001
1,MAC Field Scanner Season 10 Range 52 Column 22,13.325956114694375,36.773067958212145,23.44711184351777,0.6376164172693557
2,MAC Field Scanner Season 10 Range 48 Column 13,13.248615394647842,42.32053876368956,29.07192336904172,0.6869459656781362
3,MAC Field Scanner Season 10 Range 45 Column 37,12.757392111311393,45.481027810220326,32.723635698908936,0.7195007957044323
4,MAC Field Scanner Season 10 Range 48 Column 5,12.29548955411848,25.51765170621782,13.222162152099338,0.5181574819001675
5,MAC Field Scanner Season 10 Range 47 Column 21,11.830839892442272,36.06084979449962,24.230009902057347,0.6719201028299995
6,MAC Field Scanner Season 10 Range 48 Column 46,13.835953597469107,41.72186966846736,27.885916070998256,0.6683764724013298
7,MAC Field Scanner Season 10 Range 52 Column 30,12.636909282668453,36.95632215445806,24.319412871789602,0.6580582550976584
8,MAC Field Scanner Season 10 Range 51 Column 14,13.226156107302591,34.46988563828061,21.243729530978015,0.6162982306905522
9,MAC Field Scanner Season 10 Range 46 Column 45,13.134431882570864,40.54907366323567,27.4146417806648,0.6760855256114182
10,MAC Field Scanner Season 10 Range 51 Column 29,12.80266258261657,29.638035194953797,16.835372612337228,0.5680326817077144
11,MAC Field Scanner Season 10 Range 47 Column 6,13.077893783985546,30.96420444537144,17.88631066138589,0.5776447669741296
12,MAC Field Scanner Season 10 Range 47 Column 22,11.830839892442272,36.06084979449962,24.230009902057347,0.6719201028299995
13,MAC Field Scanner Season 10 Range 50 Column 45,12.80818133633506,34.19837300562062,21.390191669285556,0.6254739564882226
14,MAC Field Scanner Season 10 Range 52 Column 45,12.693527357480411,31.60203040931593,18.908503051835517,0.5983319048468955
15,MAC Field Scanner Season 10 Range 50 Column 46,12.80818133633506,34.19837300562062,21.390191669285556,0.6254739564882226
16,MAC Field Scanner Season 10 Range 52 Column 14,15.020195706644095,39.31115445599339,24.290958749349294,0.6179151715460721
17,MAC Field Scanner Season 10 Range 48 Column 21,13.221027564905668,40.87535147884725,27.65432391394158,0.6765525656275403
18,MAC Field Scanner Season 10 Range 50 Column 13,13.14970804364163,31.51024894159775,18.36054089795612,0.5826847300377163
19,MAC Field Scanner Season 10 Range 49 Column 14,12.88544601735927,34.60403014993492,21.71858413257565,0.6276316382361173
20,MAC Field Scanner Season 10 Range 45 Column 45,11.300806323756122,31.044225898889408,19.743419575133288,0.6359771907161518
21,MAC Field Scanner Season 10 Range 50 Column 6,13.197961939942145,32.08414445023563,18.88618251029348,0.5886453522108731
22,MAC Field Scanner Season 10 Range 52 Column 21,13.325956114694375,36.773067958212145,23.44711184351777,0.6376164172693557
23,MAC Field Scanner Season 10 Range 47 Column 14,13.522575753095529,38.46464106826138,24.94206531516585,0.6484413898703056
24,MAC Field Scanner Season 10 Range 48 Column 29,12.206406275852869,43.92803766816917,31.721631392316297,0.7221272125092492
25,MAC Field Scanner Season 10 Range 48 Column 30,12.206406275852869,43.92803766816917,31.721631392316297,0.7221272125092492
26,MAC Field Scanner Season 10 Range 49 Column 6,13.236913137263834,37.72859065323496,24.491677515971126,0.6491543175061891
27,MAC Field Scanner Season 10 Range 51 Column 21,12.51705590560014,34.78305033880316,22.26599443320302,0.640139211953001
28,MAC Field Scanner Season 10 Range 46 Column 30,11.919350064884766,36.140651630071865,24.221301565187098,0.6701954854912763
29,MAC Field Scanner Season 10 Range 51 Column 5,13.925633277727224,35.81908971474776,21.89345643702054,0.6112231385937864
30,MAC Field Scanner Season 10 Range 49 Column 29,12.992833456309528,50.583455570063244,37.59062211375372,0.7431406512290738
31,MAC Field Scanner Season 10 Range 50 Column 21,12.168936658006032,35.60862949422016,23.439692836214128,0.6582587751662489
32,MAC Field Scanner Season 10 Range 47 Column 30,11.759648708880157,37.36864168458711,25.608992975706954,0.6853070334175276
33,MAC Field Scanner Season 10 Range 47 Column 37,13.462964332948342,37.14257195506992,23.679607622121576,0.6375327925800609
34,MAC Field Scanner Season 10 Range 49 Column 38,12.851594438713354,36.40443874560125,23.55284430688789,0.6469772675655873
35,MAC Field Scanner Season 10 Range 46 Column 22,12.795120940142482,40.34601014752872,27.55088920738624,0.6828652723440063
36,MAC Field Scanner Season 10 Range 51 Column 46,13.202939524933296,30.981775443443926,17.77883591851063,0.5738481950773038
37,MAC Field Scanner Season 10 Range 50 Column 22,12.168936658006032,35.60862949422016,23.439692836214128,0.6582587751662489
38,MAC Field Scanner Season 10 Range 49 Column 30,12.992833456309528,50.583455570063244,37.59062211375372,0.7431406512290738
39,MAC Field Scanner Season 10 Range 46 Column 14,12.593142152648293,39.75791590684855,27.16477375420026,0.6832544698229758
40,MAC Field Scanner Season 10 Range 50 Column 37,12.799954169789418,30.651253596689678,17.851299426900262,0.582400304463508
41,MAC Field Scanner Season 10 Range 52 Column 38,13.827832171402658,30.06253274711078,16.23470057570812,0.5400310317256416
42,MAC Field Scanner Season 10 Range 52 Column 37,13.827832171402658,30.06253274711078,16.23470057570812,0.5400310317256416
43,MAC Field Scanner Season 10 Range 46 Column 37,14.289699711454066,47.46127467428068,33.17157496282661,0.6989187540890537
44,MAC Field Scanner Season 10 Range 46 Column 46,13.134431882570864,40.54907366323567,27.4146417806648,0.6760855256114182
45,MAC Field Scanner Season 10 Range 47 Column 29,11.759648708880157,37.36864168458711,25.608992975706954,0.6853070334175276
46,MAC Field Scanner Season 10 Range 49 Column 45,13.598528315471317,43.15987815714234,29.56134984167102,0.6849266287091926
