,Plot,F0,FM,FV,FV/FM
0,MAC Field Scanner Season 10 Range 38 Column 25,13.312364788318451,70.77315673730452,57.46079194898607,0.8119009324717389
1,MAC Field Scanner Season 10 Range 39 Column 13,16.826506748344705,83.51470649792556,66.68819974958086,0.798520434855834
2,MAC Field Scanner Season 10 Range 50 Column 34,16.96114559255755,87.42259854931802,70.46145295676047,0.8059867142591374
3,MAC Field Scanner Season 10 Range 40 Column 36,16.721502669256918,88.05031757282154,71.32881490356462,0.8100915121012767
4,MAC Field Scanner Season 10 Range 52 Column 43,16.887763729125933,88.71282748354075,71.82506375441481,0.8096356050396524
5,MAC Field Scanner Season 10 Range 44 Column 26,15.55673596252786,80.58261910397742,65.02588314144955,0.8069467568129712
6,MAC Field Scanner Season 10 Range 51 Column 26,14.367655794455292,78.92745966401108,64.5598038695558,0.8179637878170989
7,MAC Field Scanner Season 10 Range 46 Column 12,16.899872499242193,88.4525824809731,71.55270998173091,0.8089386197075987
8,MAC Field Scanner Season 10 Range 43 Column 45,17.351857257941955,88.01464749187433,70.66279023393237,0.8028526188263844
9,MAC Field Scanner Season 10 Range 43 Column 10,15.321631694558256,81.72518458699592,66.40355289243766,0.81252251956374
10,MAC Field Scanner Season 10 Range 51 Column 16,14.636770372755118,82.9952395741264,68.35846920137128,0.8236432541449268
11,MAC Field Scanner Season 10 Range 51 Column 19,16.092743501320577,83.6207209030411,67.52797740172053,0.8075507681884226
12,MAC Field Scanner Season 10 Range 40 Column 24,16.837713037157414,89.99406784096394,73.15635480380652,0.8129019674173108
13,MAC Field Scanner Season 10 Range 45 Column 12,17.46986979492431,91.8705117896317,74.4006419947074,0.8098424678973443
14,MAC Field Scanner Season 10 Range 48 Column 11,16.34104991478246,89.06455333069297,72.72350341591051,0.8165257748039355
15,MAC Field Scanner Season 10 Range 42 Column 9,16.143471288667143,84.67259522387629,68.52912393520914,0.8093424295548821
16,MAC Field Scanner Season 10 Range 49 Column 44,16.241614424125967,79.7620271261108,63.520412701984824,0.7963741016957036
17,MAC Field Scanner Season 10 Range 38 Column 6,15.395496364098152,83.42842213160588,68.03292576750773,0.8154646106118104
18,MAC Field Scanner Season 10 Range 44 Column 7,16.491014075717484,88.64970081090269,72.1586867351852,0.8139755247353376
