,Plot,F0,FM,FV,FV/FM
0,MAC Field Scanner Season 10 Range 44 Column 33,15.183316215104712,79.02740552235603,63.84408930725132,0.8078727738213611
1,MAC Field Scanner Season 10 Range 40 Column 29,17.272962167489162,90.59426445355,73.32130228606084,0.809337133297821
2,MAC Field Scanner Season 10 Range 43 Column 11,17.156962832047647,96.42256596383089,79.26560313178325,0.8220648593972971
3,MAC Field Scanner Season 10 Range 46 Column 4,15.643033464265017,80.253899310607,64.61086584634198,0.8050807051290839
4,MAC Field Scanner Season 10 Range 52 Column 30,16.209050596307286,83.5838071567648,67.37475656045751,0.8060742726649606
5,MAC Field Scanner Season 10 Range 47 Column 14,16.69119542526858,90.16592766160612,73.47473223633753,0.814883561250422
6,MAC Field Scanner Season 10 Range 47 Column 20,17.628736122324323,88.35445560074605,70.72571947842172,0.8004771123033724
7,MAC Field Scanner Season 10 Range 43 Column 19,18.49329751890177,95.52707806635331,77.03378054745154,0.806407796687173
8,MAC Field Scanner Season 10 Range 39 Column 36,17.33508942243607,91.0593791646878,73.72428974225173,0.8096287325758695
9,MAC Field Scanner Season 10 Range 48 Column 45,17.115461432777646,87.3159237021,70.20046226932234,0.8039823584622284
10,MAC Field Scanner Season 10 Range 52 Column 47,15.474629180876045,85.03208383647164,69.55745465559559,0.8180142308327303
11,MAC Field Scanner Season 10 Range 47 Column 18,15.281220067888544,82.59107191063032,67.30985184274178,0.8149773369641702
12,MAC Field Scanner Season 10 Range 42 Column 26,15.901258544600271,89.05948525966299,73.15822671506272,0.8214535094354256
13,MAC Field Scanner Season 10 Range 48 Column 4,12.844091404096476,65.94993567617419,53.10584427207772,0.8052448228734713
14,MAC Field Scanner Season 10 Range 47 Column 25,16.204984766645612,85.29712361775954,69.09213885111393,0.8100172188775706
15,MAC Field Scanner Season 10 Range 46 Column 47,15.223779198345143,82.3304865768785,67.10670737853336,0.8150894057436489
16,MAC Field Scanner Season 10 Range 41 Column 22,16.962339810749867,89.28361726293778,72.32127745218791,0.8100173320622053
17,MAC Field Scanner Season 10 Range 46 Column 26,15.134891971353621,87.22425305380793,72.0893610824543,0.8264829856207879
18,MAC Field Scanner Season 10 Range 45 Column 16,16.41545490694465,82.46063069020788,66.04517578326323,0.8009297919559332
19,MAC Field Scanner Season 10 Range 43 Column 18,14.183652199361132,72.50736122760362,58.32370902824249,0.8043832797219298
20,MAC Field Scanner Season 10 Range 37 Column 17,16.564440754104712,84.82168843617073,68.25724768206602,0.8047145599256771
21,MAC Field Scanner Season 10 Range 49 Column 39,17.021679848714506,82.61970409872542,65.59802425001092,0.7939755408906495
22,MAC Field Scanner Season 10 Range 47 Column 15,18.453965395895885,100.37678242049594,81.92281702460005,0.8161530490329029
23,MAC Field Scanner Season 10 Range 44 Column 31,18.40378104509076,101.68281487323685,83.27903382814608,0.8190079506745177
24,MAC Field Scanner Season 10 Range 41 Column 36,17.147109594915495,87.07329032107779,69.9261807261623,0.8030726812816364
25,MAC Field Scanner Season 10 Range 38 Column 48,12.914647956591935,72.1254624716413,59.210814515049364,0.8209419043701829
26,MAC Field Scanner Season 10 Range 47 Column 42,15.747190958560019,83.54076663622256,67.79357567766255,0.8115029153714737
27,MAC Field Scanner Season 10 Range 44 Column 45,16.88934651696195,86.63653320703669,69.74718669007474,0.805055143693236
28,MAC Field Scanner Season 10 Range 45 Column 43,16.8855821834827,92.05230685406245,75.16672467057975,0.8165653554967102
29,MAC Field Scanner Season 10 Range 51 Column 31,16.808819168454985,90.57450699699281,73.76568782853782,0.8144199761527483
30,MAC Field Scanner Season 10 Range 51 Column 10,14.206918189051851,74.29093172742046,60.08401353836861,0.8087664556263987
31,MAC Field Scanner Season 10 Range 45 Column 48,15.237492915403022,84.35412157917094,69.11662866376791,0.8193627930663494
32,MAC Field Scanner Season 10 Range 44 Column 29,16.88975321161482,88.04032402644506,71.15057081483025,0.8081588931165046
33,MAC Field Scanner Season 10 Range 46 Column 12,17.55375605603387,90.55563463366249,73.00187857762862,0.8061550103751515
34,MAC Field Scanner Season 10 Range 38 Column 5,13.578246663800476,82.67399770388121,69.09575104008074,0.8357615811390354
35,MAC Field Scanner Season 10 Range 48 Column 42,16.124633634758876,88.3216614067379,72.19702777197902,0.8174328542066039
36,MAC Field Scanner Season 10 Range 49 Column 25,16.505425972785982,86.65146145168865,70.14603547890266,0.8095193584012618
37,MAC Field Scanner Season 10 Range 42 Column 48,16.384904493446562,87.97544167727102,71.59053718382447,0.8137559280059893
38,MAC Field Scanner Season 10 Range 43 Column 31,13.846181758979474,75.09514323726692,61.24896147828745,0.8156181457004249
39,MAC Field Scanner Season 10 Range 52 Column 43,17.091035989741126,91.92557321901144,74.83453722927031,0.8140774608060157
40,MAC Field Scanner Season 10 Range 47 Column 37,17.05266142116002,87.20350117661562,70.15083975545559,0.8044498077362421
41,MAC Field Scanner Season 10 Range 50 Column 20,16.024110659185638,86.2235762913082,70.19946563212257,0.8141562743228391
42,MAC Field Scanner Season 10 Range 42 Column 47,16.384904493446562,87.97544167727102,71.59053718382447,0.8137559280059893
43,MAC Field Scanner Season 10 Range 40 Column 39,16.7232662601996,93.36701910539323,76.64375284519363,0.820886792569416
44,MAC Field Scanner Season 10 Range 49 Column 33,15.694590573465016,80.36763296942685,64.67304239596183,0.8047150327366802
45,MAC Field Scanner Season 10 Range 45 Column 45,14.803275988743934,82.28269935035142,67.47942336160749,0.8200924847432013
46,MAC Field Scanner Season 10 Range 39 Column 35,17.33508942243607,91.0593791646878,73.72428974225173,0.8096287325758695
47,MAC Field Scanner Season 10 Range 38 Column 35,15.752747410091695,84.72599896688916,68.97325155679746,0.814074220402549
48,MAC Field Scanner Season 10 Range 43 Column 37,16.512156606130915,86.71484620873558,70.20268960260466,0.8095809734081326
49,MAC Field Scanner Season 10 Range 44 Column 34,15.183316215104712,79.02740552235603,63.84408930725132,0.8078727738213611
50,MAC Field Scanner Season 10 Range 46 Column 37,17.896048521219956,91.82308581636957,73.92703729514962,0.8051029502862822
51,MAC Field Scanner Season 10 Range 45 Column 27,15.894355260343925,88.41989106026737,72.52553579992345,0.8202400492722812
52,MAC Field Scanner Season 10 Range 50 Column 4,14.71614883120512,81.80284365097857,67.08669481977346,0.8201022339273034
53,MAC Field Scanner Season 10 Range 39 Column 48,15.582824312610077,82.47123795408308,66.88841364147301,0.8110514077491354
54,MAC Field Scanner Season 10 Range 41 Column 16,17.406541840932658,89.976757424477,72.57021558354434,0.806544019375859
55,MAC Field Scanner Season 10 Range 48 Column 46,17.115461432777646,87.3159237021,70.20046226932234,0.8039823584622284
56,MAC Field Scanner Season 10 Range 42 Column 9,16.72386162316362,86.07233695692594,69.34847533376231,0.8056999238729521
57,MAC Field Scanner Season 10 Range 41 Column 10,14.527016979787,84.03728973949298,69.51027275970597,0.8271360603748732
58,MAC Field Scanner Season 10 Range 45 Column 38,17.448913527859713,86.23973116005274,68.79081763219303,0.7976696669487966
59,MAC Field Scanner Season 10 Range 37 Column 30,15.467569132414583,86.76906291651663,71.30149378410205,0.821738663384017
60,MAC Field Scanner Season 10 Range 50 Column 22,17.03094465198364,89.05141753694953,72.0204728849659,0.8087515603564975
61,MAC Field Scanner Season 10 Range 49 Column 19,16.867514029325516,83.78168462566343,66.91417059633791,0.7986730142191629
62,MAC Field Scanner Season 10 Range 40 Column 31,15.78484313370132,85.32174251896198,69.53689938526067,0.8149962404929403
63,MAC Field Scanner Season 10 Range 43 Column 22,17.277343689296725,91.47821284810956,74.20086915881284,0.8111316000676135
64,MAC Field Scanner Season 10 Range 49 Column 16,16.50790916201595,84.48861037749727,67.98070121548132,0.8046137924596204
65,MAC Field Scanner Season 10 Range 40 Column 45,15.836537321983728,81.87401689430308,66.03747957231936,0.8065743208565396
66,MAC Field Scanner Season 10 Range 52 Column 42,15.980399699115313,78.62017927155225,62.639779572436936,0.7967392106303982
67,MAC Field Scanner Season 10 Range 47 Column 10,16.631875797478433,85.97605393195181,69.34417813447338,0.8065522312684623
68,MAC Field Scanner Season 10 Range 43 Column 46,17.559908566322658,91.50360028792394,73.94369172160128,0.8080959818950413
69,MAC Field Scanner Season 10 Range 51 Column 34,18.863043859270512,91.37849156001232,72.51544770074182,0.7935723873611734
70,MAC Field Scanner Season 10 Range 42 Column 15,16.75539676305348,89.18842318241258,72.4330264193591,0.8121348470441672
71,MAC Field Scanner Season 10 Range 51 Column 48,16.313480999171063,82.35883922328547,66.04535822411441,0.8019219169062947
72,MAC Field Scanner Season 10 Range 38 Column 44,16.39258423891914,91.00266005023745,74.61007581131831,0.8198669771864942
73,MAC Field Scanner Season 10 Range 41 Column 13,16.13479592724929,89.6554724023435,73.52067647509422,0.8200355706694427
74,MAC Field Scanner Season 10 Range 41 Column 9,14.527016979787,84.03728973949298,69.51027275970597,0.8271360603748732
75,MAC Field Scanner Season 10 Range 38 Column 11,15.701772523744538,87.74306165369148,72.04128912994695,0.8210482717628769
76,MAC Field Scanner Season 10 Range 40 Column 10,16.27338442788595,79.90039001974272,63.627005591856765,0.7963290989710446
77,MAC Field Scanner Season 10 Range 44 Column 40,16.405548429762984,86.02429805645353,69.61874962669054,0.8092916908313877
78,MAC Field Scanner Season 10 Range 49 Column 43,16.657853619790558,82.4118818191417,65.75402819935114,0.7978707286851268
79,MAC Field Scanner Season 10 Range 51 Column 4,14.307814034925247,72.56366224319142,58.25584820826617,0.8028239811412257
80,MAC Field Scanner Season 10 Range 50 Column 9,16.911389133428138,88.18379710990087,71.27240797647272,0.8082256640372156
81,MAC Field Scanner Season 10 Range 38 Column 25,13.724979099347303,73.52334596758648,59.79836686823918,0.813324884514939
82,MAC Field Scanner Season 10 Range 37 Column 24,16.633645973980233,87.72633922173046,71.09269324775022,0.8103916552138544
83,MAC Field Scanner Season 10 Range 43 Column 26,16.77478214868199,88.42865042800796,71.65386827932596,0.8103015021999146
84,MAC Field Scanner Season 10 Range 46 Column 24,16.89962571844322,92.21924462954607,75.31961891110285,0.8167451296491236
85,MAC Field Scanner Season 10 Range 38 Column 14,16.977654713902904,88.38276849679909,71.40511378289618,0.8079076385289088
86,MAC Field Scanner Season 10 Range 48 Column 12,16.8743491977943,92.30075083380099,75.42640163600669,0.817180802481459
87,MAC Field Scanner Season 10 Range 52 Column 5,15.681548908180824,88.14550947834967,72.46396057016884,0.8220947499085868
88,MAC Field Scanner Season 10 Range 37 Column 39,16.742102224852413,87.79086169333745,71.04875946848503,0.8092956157175639
89,MAC Field Scanner Season 10 Range 49 Column 42,15.345393507630698,80.16342207950116,64.81802857187046,0.8085736223634254
90,MAC Field Scanner Season 10 Range 43 Column 47,16.051455868901687,86.61051295913587,70.55905709023419,0.814670813963716
91,MAC Field Scanner Season 10 Range 44 Column 18,15.812550047595046,90.98385688150275,75.17130683390769,0.8262048830465684
92,MAC Field Scanner Season 10 Range 44 Column 43,17.040619766532796,87.79546748424949,70.75484771771669,0.8059054726305787
93,MAC Field Scanner Season 10 Range 41 Column 43,16.881877268947996,89.42130338175689,72.53942611280888,0.8112096711800767
94,MAC Field Scanner Season 10 Range 46 Column 21,16.759477469699192,85.0446465517648,68.28516908206561,0.8029331868702863
95,MAC Field Scanner Season 10 Range 49 Column 28,15.83936461013501,85.85125945811546,70.01189484798046,0.815502245277338
96,MAC Field Scanner Season 10 Range 48 Column 18,14.56401803620999,74.09014621456589,59.526128178355904,0.8034284074155769
97,MAC Field Scanner Season 10 Range 41 Column 33,15.929445364151267,85.75895650241038,69.82951113825912,0.8142532743655347
98,MAC Field Scanner Season 10 Range 49 Column 12,18.33489909389687,95.25255623102146,76.91765713712459,0.8075127868544736
99,MAC Field Scanner Season 10 Range 40 Column 33,16.328022961521512,87.5295557637833,71.2015328022618,0.8134570338094018
100,MAC Field Scanner Season 10 Range 51 Column 13,15.389523067724577,80.8588358664416,65.46931279871701,0.8096741945043063
101,MAC Field Scanner Season 10 Range 51 Column 22,15.373993027489096,83.31516620891378,67.94117318142469,0.815471855521015
102,MAC Field Scanner Season 10 Range 39 Column 18,16.971367211671716,88.77432354299597,71.80295633132425,0.8088257219616887
103,MAC Field Scanner Season 10 Range 51 Column 29,15.342154815785289,84.21014063042574,68.86798581464045,0.817811077134788
104,MAC Field Scanner Season 10 Range 44 Column 8,16.704839581319703,91.49096056354483,74.78612098222513,0.8174154093647602
105,MAC Field Scanner Season 10 Range 44 Column 20,15.009229057348882,76.95233748182264,61.943108424473756,0.8049542151868447
106,MAC Field Scanner Season 10 Range 52 Column 4,15.681548908180824,74.46194921071017,58.78040030252935,0.7894018478645295
107,MAC Field Scanner Season 10 Range 45 Column 28,15.894355260343925,88.41989106026737,72.52553579992345,0.8202400492722812
