,Plot,F0,FM,FV,FV/FM
0,MAC Field Scanner Season 10 Range 47 Column 48,14.872946922442315,76.89732581071236,62.02437888827004,0.8065869421902523
1,MAC Field Scanner Season 10 Range 41 Column 48,15.63599624441172,82.17437648475453,66.53838024034282,0.8097217537475007
2,MAC Field Scanner Season 10 Range 52 Column 24,14.165996251428982,72.99685811928121,58.830861867852235,0.805936904458533
3,MAC Field Scanner Season 10 Range 38 Column 12,16.11878546946322,83.1903046277486,67.07151915828538,0.8062420189276875
4,MAC Field Scanner Season 10 Range 52 Column 32,15.223426357663268,79.94164354833235,64.71821719066908,0.8095682590206035
5,MAC Field Scanner Season 10 Range 40 Column 11,17.224118342360896,82.59904563633,65.37492729396911,0.7914731555350427
6,MAC Field Scanner Season 10 Range 51 Column 32,17.327735479427368,87.27032512236859,69.94258964294121,0.8014475658807184
7,MAC Field Scanner Season 10 Range 52 Column 7,15.697902880572927,77.54875370668903,61.8508508261161,0.7975737567627874
8,MAC Field Scanner Season 10 Range 42 Column 15,17.75579347259408,87.9729943713311,70.21720089873702,0.7981676808948044
9,MAC Field Scanner Season 10 Range 44 Column 11,13.939961036318804,67.44106444222872,53.501103405909916,0.7933015863315734
10,MAC Field Scanner Season 10 Range 47 Column 7,17.12557958564852,89.94902584202072,72.8234462563722,0.8096079482202895
11,MAC Field Scanner Season 10 Range 48 Column 19,18.087284098167505,86.17994224746884,68.09265814930134,0.7901218818848914
12,MAC Field Scanner Season 10 Range 40 Column 28,16.307878237550767,81.41224365944319,65.10436542189242,0.7996876451929208
13,MAC Field Scanner Season 10 Range 45 Column 45,14.935834686259897,76.92794576236268,61.99211107610279,0.8058464380109924
14,MAC Field Scanner Season 10 Range 50 Column 47,15.800522876074883,74.16921255105792,58.368689674983045,0.7869665548195239
15,MAC Field Scanner Season 10 Range 39 Column 29,16.515034611235848,81.75092992252976,65.23589531129392,0.7979835259747368
16,MAC Field Scanner Season 10 Range 50 Column 4,14.242732362107011,72.39353431101725,58.150801948910235,0.8032596073992277
17,MAC Field Scanner Season 10 Range 37 Column 32,15.680947027980537,77.82499341134937,62.14404638336883,0.7985101399868059
18,MAC Field Scanner Season 10 Range 49 Column 18,16.536982446114205,78.89941186947449,62.36242942336028,0.790404236808865
19,MAC Field Scanner Season 10 Range 38 Column 25,13.29537077087641,67.55306142315277,54.25769065227636,0.8031862584643776
20,MAC Field Scanner Season 10 Range 47 Column 28,16.594597803502523,82.62769056101013,66.0330927575076,0.7991642064442125
21,MAC Field Scanner Season 10 Range 48 Column 18,14.934000129045984,72.28531494874532,57.35131481969934,0.7934020189351725
22,MAC Field Scanner Season 10 Range 37 Column 12,17.081694339723537,83.04267107527043,65.9609767355469,0.794302204896076
23,MAC Field Scanner Season 10 Range 40 Column 48,16.03182302416317,80.87602951781534,64.84420649365217,0.8017728723857334
24,MAC Field Scanner Season 10 Range 50 Column 16,15.695242505650528,78.89988263266623,63.20464012701571,0.8010739435605654
