,Plot,F0,FM,FV,FV/FM
0,MAC Field Scanner Season 10 Range 18 Column 47,13.27763463445398,30.397755898820115,17.120121264366134,0.5632034588787078
1,MAC Field Scanner Season 10 Range 11 Column 46,11.383583692071612,25.614065302915655,14.230481610844043,0.5555729417627503
2,MAC Field Scanner Season 10 Range 6 Column 35,13.577514491508591,34.21716433367695,20.639649842168357,0.6031958008236984
3,MAC Field Scanner Season 10 Range 11 Column 44,12.22836823180615,29.41601577815821,17.18764754635206,0.5842955645650054
4,MAC Field Scanner Season 10 Range 5 Column 10,12.999893291560358,31.89337189586623,18.893478604305873,0.592395142978115
5,MAC Field Scanner Season 10 Range 6 Column 37,13.551727796859737,29.737218926552497,16.18549112969276,0.5442839550554158
6,MAC Field Scanner Season 10 Range 9 Column 13,12.097511847059781,34.930195040736635,22.832683193676854,0.6536660664805535
7,MAC Field Scanner Season 10 Range 13 Column 35,12.318802474594197,32.33429862760223,20.015496153008034,0.6190174830612151
8,MAC Field Scanner Season 10 Range 7 Column 22,12.483816982225711,35.14918143102035,22.66536444879464,0.6448333510490143
9,MAC Field Scanner Season 10 Range 7 Column 23,12.833704536817951,32.31581967974646,19.48211514292851,0.6028661917289594
10,MAC Field Scanner Season 10 Range 16 Column 47,13.565298093264424,31.99301957441451,18.427721481150087,0.5759919421887618
11,MAC Field Scanner Season 10 Range 15 Column 42,12.802013085365541,29.85247294444177,17.05045985907623,0.5711573674585929
12,MAC Field Scanner Season 10 Range 17 Column 12,12.348504246077095,28.384219373429083,16.03571512735199,0.5649517753644222
13,MAC Field Scanner Season 10 Range 15 Column 12,13.06678853996237,29.957630466244577,16.890841926282206,0.5638243633892986
14,MAC Field Scanner Season 10 Range 8 Column 42,12.247048944169405,28.71502347166979,16.467974527500388,0.5734968158304893
15,MAC Field Scanner Season 10 Range 14 Column 17,13.39367362888955,57.100533668463626,43.706860039574075,0.7654369798598429
16,MAC Field Scanner Season 10 Range 10 Column 46,11.679483915456544,25.67793614661501,13.998452231158467,0.5451548812657909
17,MAC Field Scanner Season 10 Range 16 Column 25,13.18282382847373,41.74001240875749,28.557188580283757,0.684168186166906
18,MAC Field Scanner Season 10 Range 5 Column 38,13.949625243048793,31.615193284053316,17.665568041004523,0.5587683074490335
19,MAC Field Scanner Season 10 Range 11 Column 17,11.849942741232438,32.78348100016313,20.93353825893069,0.6385392161017472
20,MAC Field Scanner Season 10 Range 4 Column 13,13.241943248530909,26.85358452093606,13.611641272405151,0.5068835879915028
21,MAC Field Scanner Season 10 Range 3 Column 31,13.220645652984576,28.64941789515949,15.428772242174915,0.5385370236364108
22,MAC Field Scanner Season 10 Range 3 Column 46,12.594975487499502,31.27782786600541,18.682852378505906,0.5973193681653173
23,MAC Field Scanner Season 10 Range 7 Column 15,12.74294145670125,26.670262126014123,13.927320669312873,0.5222041164615399
24,MAC Field Scanner Season 10 Range 11 Column 10,10.651452424393211,33.529316794091585,22.877864369698372,0.6823242033291244
25,MAC Field Scanner Season 10 Range 11 Column 21,11.417133259147331,38.81653911823692,27.399405859089587,0.7058693660356934
26,MAC Field Scanner Season 10 Range 11 Column 4,11.25905442263105,47.75031533246951,36.49126090983846,0.7642098414588885
27,MAC Field Scanner Season 10 Range 15 Column 7,13.104567311528703,30.679822805967678,17.575255494438977,0.5728603977145634
