,Plot,F0,FM,FV,FV/FM
0,MAC Field Scanner Season 10 Range 28 Column 27,16.868671463624274,75.9201123673387,59.05144090371443,0.7778102410859803
1,MAC Field Scanner Season 10 Range 22 Column 24,15.941914396900655,76.30555162237653,60.36363722547587,0.7910779221439281
2,MAC Field Scanner Season 10 Range 25 Column 20,15.610554711481814,77.35199438534758,61.74143967386577,0.7981880773013547
3,MAC Field Scanner Season 10 Range 24 Column 24,14.153551394821788,71.5924536307307,57.43890223590891,0.8023038647645058
4,MAC Field Scanner Season 10 Range 33 Column 15,15.634670742018908,78.3135507124526,62.678879970433684,0.8003580402141969
5,MAC Field Scanner Season 10 Range 29 Column 20,17.418282148130913,82.80026436203411,65.3819822139032,0.789634945222257
6,MAC Field Scanner Season 10 Range 30 Column 31,14.34613927098591,71.63349093409184,57.28735166310593,0.7997286034239847
7,MAC Field Scanner Season 10 Range 25 Column 28,16.73362286671378,83.95128660151043,67.21766373479664,0.8006746109068837
8,MAC Field Scanner Season 10 Range 16 Column 21,17.26889100084616,78.35108795167321,61.08219695082705,0.77959602792628
9,MAC Field Scanner Season 10 Range 22 Column 15,14.68357709056161,75.38466436391924,60.70108727335763,0.8052179814759579
10,MAC Field Scanner Season 10 Range 24 Column 4,12.720290585663642,54.64122590085251,41.92093531518887,0.7672034187383563
11,MAC Field Scanner Season 10 Range 31 Column 25,15.37349038913323,73.43478936194158,58.06129897280835,0.7906511270378789
12,MAC Field Scanner Season 10 Range 25 Column 24,15.49208245277067,77.32689481870487,61.8348123659342,0.7996546675113192
13,MAC Field Scanner Season 10 Range 24 Column 20,18.133117739866954,85.54786886013206,67.4147511202651,0.7880354241259474
14,MAC Field Scanner Season 10 Range 27 Column 44,15.983322485817117,74.95451305952754,58.97119057371042,0.7867597048742956
15,MAC Field Scanner Season 10 Range 18 Column 45,12.576541404516602,55.82014419167074,43.24360278715414,0.7746952899058756
16,MAC Field Scanner Season 10 Range 20 Column 33,14.649044520550273,75.90997762331263,61.26093310276235,0.8070208294192485
