,Plot,F0,FM,FV,FV/FM
0,MAC Field Scanner Season 10 Range 34 Column 13,16.417536783328703,87.29368281927046,70.87614603594176,0.8119275501605432
1,MAC Field Scanner Season 10 Range 35 Column 24,16.255055537419867,81.26837100700857,65.0133154695887,0.7999830027844654
2,MAC Field Scanner Season 10 Range 27 Column 20,15.635649797999665,75.23286134725494,59.59721154925528,0.7921699438516681
3,MAC Field Scanner Season 10 Range 28 Column 27,17.438237366520198,87.08144844666737,69.64321108014717,0.7997479638019552
4,MAC Field Scanner Season 10 Range 30 Column 47,15.800325632572175,85.29624849854217,69.49592286596999,0.814759430681852
5,MAC Field Scanner Season 10 Range 30 Column 48,15.800325632572175,85.29624849854217,69.49592286596999,0.814759430681852
6,MAC Field Scanner Season 10 Range 20 Column 37,16.884370262506334,87.11123539569309,70.22686513318675,0.8061745975038586
7,MAC Field Scanner Season 10 Range 26 Column 38,16.520223796271498,85.86589929410256,69.34567549783107,0.807604369929354
8,MAC Field Scanner Season 10 Range 21 Column 25,15.013895890301,80.60435917453287,65.59046328423187,0.8137334501004919
9,MAC Field Scanner Season 10 Range 28 Column 28,17.438237366520198,87.08144844666737,69.64321108014717,0.7997479638019552
10,MAC Field Scanner Season 10 Range 32 Column 42,16.772533146087575,84.92377279228762,68.15123964620005,0.802498963545685
11,MAC Field Scanner Season 10 Range 29 Column 10,16.411205192484932,86.6022563225151,70.19105113003017,0.8104991037257964
12,MAC Field Scanner Season 10 Range 29 Column 27,15.69107278543353,83.86815680551634,68.1770840200828,0.8129078617785783
13,MAC Field Scanner Season 10 Range 33 Column 23,16.249970894669072,84.78403737034293,68.53406647567385,0.8083369063484438
14,MAC Field Scanner Season 10 Range 33 Column 25,17.221429643683535,85.92991399465421,68.70848435097068,0.7995874912110944
15,MAC Field Scanner Season 10 Range 28 Column 38,15.68605820579082,81.1805283220019,65.49447011621109,0.8067756082644326
16,MAC Field Scanner Season 10 Range 22 Column 21,16.519523596179695,86.08292700592523,69.56340340974553,0.8080975616100666
17,MAC Field Scanner Season 10 Range 24 Column 21,17.509872279172765,94.33919511587018,76.82932283669741,0.8143945127190599
18,MAC Field Scanner Season 10 Range 20 Column 28,17.599202155886466,94.57218164846297,76.97297949257651,0.8139071992512029
19,MAC Field Scanner Season 10 Range 27 Column 13,17.3560491376278,82.32790340493408,64.97185426730627,0.7891838803150231
20,MAC Field Scanner Season 10 Range 32 Column 34,16.164496580008358,78.68783548717278,62.523338907164415,0.7945743903116588
21,MAC Field Scanner Season 10 Range 28 Column 20,17.186360378746098,88.46924511166642,71.28288473292032,0.8057363284036914
22,MAC Field Scanner Season 10 Range 27 Column 16,15.297864756804614,91.81540306024917,76.51753830344455,0.8333845493575172
23,MAC Field Scanner Season 10 Range 30 Column 19,17.587438279640192,90.00233325933527,72.41489497969508,0.8045890851633452
24,MAC Field Scanner Season 10 Range 35 Column 14,16.825857324760246,85.79339007188577,68.96753274712552,0.8038793278752365
25,MAC Field Scanner Season 10 Range 21 Column 17,16.366205249544258,87.05775572034581,70.69155047080156,0.8120074987676326
26,MAC Field Scanner Season 10 Range 33 Column 14,17.36448783620413,89.61466925476977,72.25018141856563,0.8062316361751243
27,MAC Field Scanner Season 10 Range 29 Column 48,14.079881832290678,82.62960721585,68.54972538355932,0.8296024596182532
28,MAC Field Scanner Season 10 Range 27 Column 10,13.399056567219228,66.16482769537694,52.765771128157716,0.79748973837114
29,MAC Field Scanner Season 10 Range 28 Column 34,14.207190963679759,68.48839108176564,54.281200118085884,0.7925605969233772
30,MAC Field Scanner Season 10 Range 30 Column 30,17.761167565995667,90.54753180727214,72.78636424127647,0.8038470269537572
31,MAC Field Scanner Season 10 Range 22 Column 4,15.256262129214955,74.88709674890245,59.6308346196875,0.7962764909905717
32,MAC Field Scanner Season 10 Range 24 Column 37,15.372889616752895,84.96601761596041,69.59312799920751,0.8190701406503818
33,MAC Field Scanner Season 10 Range 30 Column 11,17.268944288410594,88.95972460061265,71.69078031220205,0.8058790720639026
34,MAC Field Scanner Season 10 Range 33 Column 4,13.38953050019881,65.2459857836129,51.856455283414085,0.7947838424174486
35,MAC Field Scanner Season 10 Range 22 Column 32,15.851978568132537,85.16898001929063,69.31700145115809,0.8138761487510818
36,MAC Field Scanner Season 10 Range 29 Column 29,16.624421200260663,83.82457543690167,67.200154236641,0.8016760465100765
37,MAC Field Scanner Season 10 Range 26 Column 23,17.03836804133622,85.70536484203897,68.66699680070275,0.8011983488695353
38,MAC Field Scanner Season 10 Range 32 Column 18,18.92981819499746,91.03866518294409,72.10884698794663,0.792068368347036
39,MAC Field Scanner Season 10 Range 24 Column 48,14.755282221921949,82.57341502185831,67.81813279993636,0.8213071093400216
40,MAC Field Scanner Season 10 Range 23 Column 22,17.008859671056655,83.79570130439056,66.7868416333339,0.7970199019007976
41,MAC Field Scanner Season 10 Range 28 Column 36,16.829103569817175,83.70504782379118,66.875944253974,0.7989475663971378
42,MAC Field Scanner Season 10 Range 22 Column 31,15.851978568132537,85.16898001929063,69.31700145115809,0.8138761487510818
43,MAC Field Scanner Season 10 Range 25 Column 38,14.739741745959222,78.71751344318949,63.97777169723027,0.8127514310192622
44,MAC Field Scanner Season 10 Range 28 Column 39,15.893001677063573,84.68204259871679,68.78904092165322,0.8123214652204859
45,MAC Field Scanner Season 10 Range 22 Column 11,16.751979410242367,90.40737583935855,73.65539642911618,0.8147056116305341
46,MAC Field Scanner Season 10 Range 31 Column 47,14.193464600494213,82.95671189791454,68.76324729742034,0.8289051690240508
47,MAC Field Scanner Season 10 Range 33 Column 32,16.4597285446077,84.04358009379872,67.58385154919102,0.8041524584478975
48,MAC Field Scanner Season 10 Range 23 Column 5,17.599720451125588,90.45110795108695,72.85138749996136,0.8054228317397399
49,MAC Field Scanner Season 10 Range 20 Column 48,14.201250438835318,79.16461280013961,64.96336236130429,0.820611129941505
50,MAC Field Scanner Season 10 Range 21 Column 48,15.532256031707679,84.73347496843373,69.20121893672605,0.8166928001301257
51,MAC Field Scanner Season 10 Range 26 Column 34,15.643114901127573,82.77003414148822,67.12691924036065,0.8110050930462706
52,MAC Field Scanner Season 10 Range 25 Column 20,16.134138659017093,85.12096113029541,68.98682247127832,0.8104563383122468
53,MAC Field Scanner Season 10 Range 34 Column 16,14.977956483469903,80.08311011978472,65.10515363631481,0.8129698451887476
54,MAC Field Scanner Season 10 Range 20 Column 4,14.011796948713034,69.6465832889945,55.63478634028147,0.7988157309803428
55,MAC Field Scanner Season 10 Range 32 Column 13,14.30509332947475,74.15319352551019,59.84810019603544,0.8070872925445415
56,MAC Field Scanner Season 10 Range 26 Column 44,15.937485526334285,83.49092025096587,67.55343472463159,0.8091111527046569
57,MAC Field Scanner Season 10 Range 25 Column 44,17.420805557077074,89.01782092079026,71.59701536371318,0.8042997977609625
58,MAC Field Scanner Season 10 Range 25 Column 46,15.550538489799846,86.61191464351732,71.06137615371748,0.8204572828830339
59,MAC Field Scanner Season 10 Range 35 Column 17,18.44945737525904,93.20699507636868,74.75753770110964,0.8020593050967626
60,MAC Field Scanner Season 10 Range 22 Column 39,15.864392244175681,85.21457138876029,69.35017914458462,0.8138300529401222
61,MAC Field Scanner Season 10 Range 35 Column 6,17.207835160951404,88.65545420060596,71.44761903965455,0.805902126201799
62,MAC Field Scanner Season 10 Range 24 Column 38,15.372889616752895,84.96601761596041,69.59312799920751,0.8190701406503818
63,MAC Field Scanner Season 10 Range 30 Column 7,16.190802876961236,84.77134116751617,68.58053829055493,0.8090061729120613
64,MAC Field Scanner Season 10 Range 20 Column 43,16.021967932272045,88.79936469289068,72.77739676061863,0.8195711423422517
65,MAC Field Scanner Season 10 Range 32 Column 29,14.610165692866133,73.00569528010905,58.39552958724292,0.7998763570868042
66,MAC Field Scanner Season 10 Range 22 Column 30,15.76701200276061,81.64581452549663,65.87880252273602,0.8068852384608542
67,MAC Field Scanner Season 10 Range 26 Column 27,17.816754168069043,85.82641900498804,68.009664836919,0.7924094425163706
68,MAC Field Scanner Season 10 Range 24 Column 42,16.255675323819467,81.35483264171638,65.09915731789692,0.8001879569292603
69,MAC Field Scanner Season 10 Range 31 Column 27,17.4084098388147,92.369029482089,74.9606196432743,0.811534126357901
70,MAC Field Scanner Season 10 Range 22 Column 43,13.729451885803446,70.12009466006728,56.39064277426384,0.8042008934477062
71,MAC Field Scanner Season 10 Range 20 Column 15,15.763990203908214,83.57233944577784,67.80834924186962,0.811373113299814
72,MAC Field Scanner Season 10 Range 26 Column 25,15.787491239465679,90.62747082830109,74.8399795888354,0.8257979496153436
73,MAC Field Scanner Season 10 Range 20 Column 14,18.849592991063954,91.0708500928392,72.22125710177524,0.7930227622576449
74,MAC Field Scanner Season 10 Range 24 Column 18,13.371648824774676,68.48998579748547,55.1183369727108,0.8047649058606522
75,MAC Field Scanner Season 10 Range 34 Column 4,13.820955022024657,64.98890290933323,51.16794788730858,0.7873336153818995
76,MAC Field Scanner Season 10 Range 25 Column 17,18.11073279312337,95.52095677153841,77.41022397841505,0.8104004251502674
77,MAC Field Scanner Season 10 Range 35 Column 33,17.275913721787383,97.28977438424032,80.01386066245294,0.8224282682211066
78,MAC Field Scanner Season 10 Range 34 Column 11,17.41375034622247,88.16399987037201,70.75024952414954,0.8024845699851867
79,MAC Field Scanner Season 10 Range 22 Column 23,16.945023066043348,86.72464383136598,69.77962076532263,0.8046112117912811
80,MAC Field Scanner Season 10 Range 30 Column 14,17.941247270880805,96.30070352198453,78.35945625110372,0.8136955742303067
81,MAC Field Scanner Season 10 Range 31 Column 43,16.328268885753157,85.99423686648532,69.66596798073216,0.8101236840893834
82,MAC Field Scanner Season 10 Range 34 Column 42,15.767713888255457,84.27620037956504,68.50848649130958,0.8129043096717641
83,MAC Field Scanner Season 10 Range 31 Column 31,17.43030698414465,85.98044656243466,68.55013957829001,0.7972759193395484
